,Update/policy_loss,Update/value_loss,Update/entropy,Update/approx_kl,step
0,-0.00013524049992483218,43.258827807833846,0.6931002105324013,0.21252019703388214,1030
1,-0.00025262985292605117,37.900282807431175,0.69310864487898,0.21286650002002716,1030
2,-0.0004704895692660464,33.213021890920345,0.6931000832215096,0.21277420222759247,1030
3,-0.0004499298316941967,29.187662555754763,0.6930788929022632,0.21299543976783752,2060
4,-0.0005657940840764532,27.48141642450129,0.6930505147258055,0.212995246052742,2060
5,-0.0006614216983101322,25.77676712540747,0.6930474152842772,0.21286170184612274,2060
6,-0.0007525828262357023,33.824854553324506,0.6930063216431627,0.21270711719989777,3090
7,-0.0007411980723455837,32.14055131043045,0.6929955251008562,0.21272921562194824,3090
8,-0.0008101908668640603,30.671582953118293,0.6929758607762532,0.21310994029045105,3090
9,-0.0006541345806484951,35.78282602261571,0.6929762299778393,0.21263770759105682,4120
10,-0.0006528361790894883,34.19883319793396,0.6930013727215887,0.21275725960731506,4120
11,-0.0007835466627176236,32.668216899471375,0.693000033063796,0.2126154899597168,4120
12,-0.00031753449962989796,26.310207866349266,0.6928897187547777,0.2126886546611786,5150
13,-0.0006692767697352536,25.2727312920163,0.6929711358061115,0.21270179748535156,5150
14,-0.0006206617088766896,24.298445872890138,0.6929378301194571,0.21286240220069885,5150
15,-0.0006977844422737372,22.119395224793443,0.692917003214938,0.21302427351474762,6180
16,-0.0008000197720903795,21.200999316659946,0.6929171073783948,0.21300102770328522,6180
17,-0.0004785162220410641,20.227369030123775,0.6929436285518905,0.21308577060699463,6180
18,-0.0009452203668436958,34.11524704040833,0.6928979540334165,0.21282747387886047,7210
19,-0.0011030505637376054,32.784034124421844,0.6928531608535248,0.21288195252418518,7210
20,-0.0008337987830988991,31.244374775300617,0.6927989021088313,0.21333375573158264,7210
21,-0.0005397211615611048,22.81447818209824,0.6928140810392436,0.2129209041595459,8240
22,-0.0008141877382849027,22.102846122482447,0.6928378875973156,0.21283479034900665,8240
23,-0.0008031023774766228,21.308261322743686,0.692826946383541,0.21301579475402832,8240
24,-0.0009400041850772008,27.4613667735197,0.692869425977318,0.2125711292028427,9270
25,-0.001154386193448569,26.38722055832159,0.6928211930886056,0.21245460212230682,9270
26,-0.0015204375975955168,25.500692959115344,0.6927660425889839,0.2123391181230545,9270
27,-0.0012992593161400081,24.45932278123874,0.6926380123906922,0.21315401792526245,10300
28,-0.0011841682626784426,23.6208530213069,0.6925395518830679,0.21296560764312744,10300
29,-0.001280381244797151,22.917660995594506,0.6924307525736614,0.21318799257278442,10300
30,-0.0012917506861165888,21.10809868429471,0.692738336845509,0.21281316876411438,11330
31,-0.0012402400437706304,20.416899248378947,0.6926760916571015,0.21319378912448883,11330
32,-0.001086337164098632,19.791722606397368,0.6927383808256353,0.21287375688552856,11330
33,-0.0006914956232948789,24.874576936358388,0.6927505835746098,0.21303632855415344,12360
34,-0.0005990508130019151,24.186594557559605,0.6925070465189739,0.21245642006397247,12360
35,-0.00031393304980332847,23.491083888318933,0.6925069475636899,0.21300183236598969,12360
36,-0.0010458239381319111,26.589763558026657,0.6926318187158085,0.21271944046020508,13390
37,-0.001266881751204,25.78135656616063,0.6925253972266484,0.21249747276306152,13390
38,-0.0010019099719605399,25.108150713652083,0.6924644054718387,0.21249525249004364,13390
39,-0.0011330703725513903,27.92469027493764,0.6920358492332754,0.2130798101425171,14420
40,-0.0011191295812503226,27.28040310754938,0.6920125987923261,0.21306006610393524,14420
41,-0.0012416724676212062,26.79746987106441,0.691938164743405,0.21307815611362457,14420
42,-0.0007697450724945775,33.375535714394836,0.6920524337916698,0.21229904890060425,15450
43,-0.0005233809012847329,32.16702733572247,0.6921797001246109,0.2122877985239029,15450
44,-0.0009428069596766558,31.271638938741198,0.6922346243580568,0.21233229339122772,15450
45,-0.0005649402195099488,23.66881051948927,0.6922911370842202,0.21271972358226776,16480
46,-0.0004381732924759967,23.34469844053671,0.6922032642133028,0.2127581089735031,16480
47,-0.0006051332965601706,22.835607499896902,0.6922215784637673,0.21259412169456482,16480
48,-0.0009648086869347732,23.35297395650623,0.6922171694561116,0.21330590546131134,17510
49,-0.000942695567167355,23.099118978074454,0.6920160251913718,0.21341833472251892,17510
50,-0.0007605925405813941,22.68921207224281,0.6917256452504871,0.21323242783546448,17510
51,-0.0007937978308882963,22.83721309119058,0.69218361667059,0.21307305991649628,18540
52,-0.0007681512382351658,22.54775594276132,0.6918598575499452,0.21296393871307373,18540
53,0.0008209831108456677,22.31882321277579,0.6919886695528493,0.21366621553897858,18540
54,-0.0011064756923870555,25.878021045795922,0.691889352590135,0.21307672560214996,19570
55,-0.0005088523075490901,25.45446089401986,0.6917590996594105,0.21303530037403107,19570
56,-7.125283184560758e-05,25.1489003375896,0.6916787514408815,0.2133449763059616,19570
57,-0.0007302745344858725,28.48749993611308,0.6915793031164743,0.2133374810218811,20600
58,-0.0005322387351573093,28.29230124742082,0.6918827249008475,0.2133343368768692,20600
59,-0.0009389735432793793,28.411043616174496,0.6918865158719923,0.21394437551498413,20600
60,-0.0003094883020786406,22.37238599721668,0.691646180685284,0.2138959765434265,21630
61,-0.0012442810863292622,22.3551490931835,0.6918697536570354,0.21344682574272156,21630
62,-0.0013191370074230346,22.333925585144932,0.6917800666059105,0.2134411334991455,21630
63,0.00013352248329416062,28.539060425989835,0.6918263875165032,0.2133137434720993,22660
64,-0.0010608752954353407,28.338106785005735,0.6912932922539202,0.2133747637271881,22660
65,-0.0008867676505475368,27.967435484950983,0.6913818433446791,0.2128143608570099,22660
66,-0.0004752666725623376,28.220211853390758,0.6910863125208512,0.21307693421840668,23690
67,-0.0006677927042457085,28.155797111901265,0.6914757212388862,0.21266770362854004,23690
68,-0.0007205894595527461,27.87130960322989,0.6914176501116707,0.21385851502418518,23690
69,-0.0008479230087792989,28.97123862195362,0.6914597790218094,0.21295936405658722,24720
70,-0.0009262106580279984,28.658810619879695,0.6915515389257264,0.2133215367794037,24720
71,-0.0011596172218418961,28.61133397421212,0.6917725743599308,0.21334075927734375,24720
72,-0.0008114863150906794,30.324038787952905,0.691783769038117,0.21370671689510345,25750
73,-0.0011497866091074295,30.40606117335338,0.6906823041369614,0.2152746319770813,25750
74,-0.0017124585065882182,29.939205868151582,0.6911604115106527,0.2147093117237091,25750
75,-0.0007590831447284198,28.656944848958727,0.6914188560930271,0.21317075192928314,26780
76,-0.0017791304633346865,28.639811673210662,0.6910946137696794,0.2131144255399704,26780
77,-0.0015972194881223648,28.724916532201675,0.690514073788541,0.21286848187446594,26780
78,-0.0004367281140836444,32.51511730268164,0.6897847999646826,0.21323931217193604,27810
79,-0.0010522581632384687,32.134154940114435,0.6903063267180063,0.2127019613981247,27810
80,-0.00010817143523577348,31.779316105888885,0.6889048762691831,0.21249601244926453,27810
81,-0.000403830843742539,28.518980283181644,0.69028246749952,0.21493065357208252,28840
82,-0.0011202772860008391,28.60728602039004,0.6905666375623166,0.214790940284729,28840
83,-0.0007211521405780923,28.79468332672293,0.6907814278185946,0.21417176723480225,28840
84,-0.00102866030958237,35.26743069971071,0.6908575481581456,0.21251395344734192,29870
85,-0.0005696224573167782,35.22938842044293,0.6902568623857591,0.21207685768604279,29870
86,-0.0012241378539576404,34.99700408016594,0.6901549534890258,0.21113751828670502,29870
87,0.000496730249085762,33.41262240215991,0.688915410088104,0.21296744048595428,30900
88,-0.0003227877975396306,33.169867868707016,0.6892916479157013,0.21373245120048523,30900
89,-0.0009856376665852314,32.997253733135544,0.6899820942323185,0.21381604671478271,30900
90,-0.0008731302556590837,34.369939461495115,0.6905444426443971,0.21344345808029175,31930
91,0.00012138631936271214,34.34031803168139,0.6907345125976118,0.21295468509197235,31930
92,-8.768763153551562e-05,34.51828902901955,0.691133764183637,0.213592991232872,31930
93,-0.0009188047231308375,30.399397035246913,0.6910814394071264,0.21442833542823792,32960
94,-0.000814407774545614,30.331454675174452,0.6910632003858251,0.21327227354049683,32960
95,-0.0006667663777265155,30.47908474635152,0.6908357259139274,0.21521024405956268,32960
96,0.0003584710501351403,31.15417176354857,0.6908201899343324,0.21296684443950653,33990
97,0.001048457306963437,31.190954904967143,0.6911131444486599,0.21274955570697784,33990
98,-0.00015567256436113593,31.21637587148009,0.6896679991657294,0.2136010080575943,33990
99,-0.0001062276158300997,31.43026797921912,0.6883750430588583,0.21561464667320251,35020
100,-0.0008897659508963523,31.619768082806207,0.688830397082764,0.21578507125377655,35020
101,-0.001796667807672209,31.471156843078948,0.688818241207345,0.2156415730714798,35020
